date,description,amount
2021-06-15,"ACH PAYROLL",4382.01
2021-06-15,"UBER EATS",-27.99
2021-06-15,"LOCAL COFFEE SHOP",-7.14
2021-06-15,"COPAY",-16.60
2021-06-15,"AMAZON.COM",-6.50
2021-06-16,"LOCAL MARKET",-110.95
2021-06-16,"DOORDASH",-40.98
2021-06-16,"PHILZ COFFEE",-10.13
2021-06-16,"CLIPPER CARD",-20.49
2021-06-16,"MCDONALDS",-5.94
2021-06-16,"STARBUCKS",-12.42
2021-06-17,"TRADER JOES",-26.68
2021-06-17,"CHEVRON",-36.19
2021-06-17,"PIZZA PORT",-11.86
2021-06-17,"DUNKIN",-9.57
2021-06-17,"UBER",-12.34
2021-06-18,"CHEVRON",-36.76
2021-06-18,"CHIPOTLE",-36.79
2021-06-18,"LOCAL COFFEE SHOP",-9.65
2021-06-18,"STEAM GAMES",-46.01
2021-06-18,"AMAZON.COM",-14.70
2021-06-19,"SPROUTS FARMERS MKT",-116.17
2021-06-19,"EXXON MOBIL",-69.11
2021-06-19,"SUBWAY",-14.05
2021-06-19,"PHILZ COFFEE",-9.11
2021-06-19,"UNIQLO",-68.03
2021-06-19,"LYFT",-31.94
2021-06-20,"WHOLE FOODS MKT",-23.64
2021-06-20,"SHELL OIL",-62.44
2021-06-20,"CHIPOTLE",-26.62
2021-06-20,"PHILZ COFFEE",-9.26
2021-06-20,"AMAZON.COM",-34.78
2021-06-20,"PARKING METER",-8.93
2021-06-20,"RITE AID",-33.31
2021-06-20,"AMAZON.COM",-12.42
2021-06-21,"WALMART SUPERCENTER",-18.71
2021-06-21,"ARCO AMPM",-43.31
2021-06-21,"SUBWAY",-28.62
2021-06-21,"PHILZ COFFEE",-6.92
2021-06-21,"LYFT",-21.10
2021-06-22,"SDG&E UTILITIES",-125.13
2021-06-22,"CHEVRON",-49.67
2021-06-22,"MCDONALDS",-21.26
2021-06-22,"PHILZ COFFEE",-9.23
2021-06-22,"UNIQLO",-69.88
2021-06-22,"CLIPPER CARD",-19.23
2021-06-22,"STARBUCKS",-22.77
2021-06-23,"SUSHI HOUSE",-38.09
2021-06-23,"LOCAL COFFEE SHOP",-5.62
2021-06-23,"DOLLAR STORE",-72.03
2021-06-24,"EXXON MOBIL",-52.57
2021-06-24,"DOORDASH",-19.41
2021-06-24,"STARBUCKS",-10.49
2021-06-24,"GOOGLE STORAGE",-16.48
2021-06-24,"DOLLAR STORE",-30.33
2021-06-25,"EXXON MOBIL",-47.65
2021-06-25,"PANERA BREAD",-40.69
2021-06-25,"PHILZ COFFEE",-6.25
2021-06-25,"TICKETMASTER",-41.92
2021-06-25,"STARBUCKS",-14.73
2021-06-26,"TRADER JOES",-54.09
2021-06-26,"76 STATION",-37.65
2021-06-26,"DOORDASH",-39.77
2021-06-26,"PEETS COFFEE",-11.30
2021-06-26,"SPOTIFY USA",-11.97
2021-06-26,"TARGET",-59.80
2021-06-26,"DAVE AND BUSTERS",-40.38
2021-06-26,"7-ELEVEN",-18.86
2021-06-27,"LOCAL MARKET",-93.77
2021-06-27,"EXXON MOBIL",-35.94
2021-06-27,"DOORDASH",-14.00
2021-06-27,"STARBUCKS",-10.18
2021-06-27,"CLIPPER CARD",-12.77
2021-06-27,"STEAM GAMES",-7.77
2021-06-27,"STARBUCKS",-5.55
2021-06-27,"7-ELEVEN",-12.92
2021-06-28,"SUSHI HOUSE",-29.46
2021-06-28,"PEETS COFFEE",-7.72
2021-06-28,"GAP",-52.47
2021-06-28,"CLIPPER CARD",-11.84
2021-06-29,"LOCAL BISTRO",-34.17
2021-06-29,"STARBUCKS",-10.21
2021-06-29,"BEST BUY",-42.06
2021-06-29,"BART TICKET",-27.82
2021-06-29,"DAVE AND BUSTERS",-34.09
2021-06-29,"AMAZON.COM",-5.02
2021-06-30,"WHOLE FOODS MKT",-34.08
2021-06-30,"EXXON MOBIL",-38.23
2021-06-30,"IN-N-OUT BURGER",-16.08
2021-06-30,"DUNKIN",-8.30
2021-06-30,"AMAZON.COM",-7.98
2021-07-01,"DIRECT DEPOSIT - EMPLOYER",4202.16
2021-07-01,"AVALON APARTMENTS",-2400.00
2021-07-01,"SPROUTS FARMERS MKT",-69.70
2021-07-01,"SHELL OIL",-40.32
2021-07-01,"SUBWAY",-38.34
2021-07-01,"PEETS COFFEE",-5.71
2021-07-01,"GAP",-147.87
2021-07-01,"BART TICKET",-34.00
2021-07-01,"STEAM GAMES",-50.52
2021-07-01,"24 HOUR FITNESS",-38.11
2021-07-01,"7-ELEVEN",-7.01
2021-07-01,"MCDONALDS",-19.36
2021-07-02,"SPROUTS FARMERS MKT",-77.56
2021-07-02,"IN-N-OUT BURGER",-21.95
2021-07-02,"PEETS COFFEE",-4.84
2021-07-02,"TARGET",-32.76
2021-07-02,"LIME SCOOTER",-31.96
2021-07-03,"WATER DISTRICT",-117.16
2021-07-03,"SAFEWAY",-81.57
2021-07-03,"76 STATION",-59.84
2021-07-03,"PANERA BREAD",-26.89
2021-07-03,"PEETS COFFEE",-5.08
2021-07-03,"WALMART.COM",-17.58
2021-07-03,"FASTTRAK",-9.95
2021-07-03,"AMAZON.COM",-20.51
2021-07-04,"TRADER JOES",-51.51
2021-07-04,"SHELL OIL",-44.23
2021-07-04,"SUBWAY",-39.49
2021-07-04,"PEETS COFFEE",-11.54
2021-07-04,"EBAY",-64.93
2021-07-05,"SHELL OIL",-53.62
2021-07-05,"PIZZA PORT",-11.49
2021-07-05,"LOCAL COFFEE SHOP",-11.96
2021-07-05,"NYT SUBSCRIPTION",-15.96
2021-07-05,"EBAY",-11.52
2021-07-06,"ARCO AMPM",-73.76
2021-07-06,"IN-N-OUT BURGER",-39.98
2021-07-06,"LOCAL COFFEE SHOP",-4.70
2021-07-06,"EBAY",-21.64
2021-07-06,"LIME SCOOTER",-17.44
2021-07-07,"76 STATION",-58.89
2021-07-07,"SUBWAY",-14.82
2021-07-07,"DUNKIN",-10.55
2021-07-07,"EBAY",-23.49
2021-07-07,"LYFT",-13.41
2021-07-07,"TICKETMASTER",-76.97
2021-07-08,"TRADER JOES",-68.74
2021-07-08,"CHEVRON",-52.06
2021-07-08,"CHIPOTLE",-11.44
2021-07-08,"STARBUCKS",-11.15
2021-07-08,"DOLLAR STORE",-44.77
2021-07-08,"UBER",-4.78
2021-07-08,"COPAY",-31.65
2021-07-08,"STARBUCKS",-21.64
2021-07-08,"AMAZON.COM",-5.90
2021-07-09,"LOCAL BISTRO",-42.01
2021-07-09,"LOCAL COFFEE SHOP",-7.40
2021-07-09,"MCDONALDS",-7.88
2021-07-10,"WALMART SUPERCENTER",-91.02
2021-07-10,"SHELL OIL",-64.50
2021-07-10,"SUBWAY",-28.61
2021-07-10,"STARBUCKS",-5.55
2021-07-10,"PLAYSTATION NETWORK",-32.94
2021-07-10,"7-ELEVEN",-6.76
2021-07-11,"TRADER JOES",-56.31
2021-07-11,"SHELL OIL",-35.63
2021-07-11,"IN-N-OUT BURGER",-32.27
2021-07-11,"STARBUCKS",-6.44
2021-07-11,"WALMART.COM",-28.81
2021-07-11,"LIME SCOOTER",-31.58
2021-07-11,"7-ELEVEN",-11.46
2021-07-11,"AMAZON.COM",-8.03
2021-07-12,"WHOLE FOODS MKT",-21.67
2021-07-12,"SHELL OIL",-61.14
2021-07-12,"SUBWAY",-23.10
2021-07-12,"DUNKIN",-8.70
2021-07-12,"TARGET",-27.49
2021-07-12,"CLIPPER CARD",-7.56
2021-07-13,"COMCAST INTERNET",-175.00
2021-07-13,"LOCAL MARKET",-97.48
2021-07-13,"CHEVRON",-58.29
2021-07-13,"UBER EATS",-14.87
2021-07-13,"PHILZ COFFEE",-8.74
2021-07-13,"WALMART.COM",-41.70
2021-07-13,"FASTTRAK",-11.39
2021-07-14,"WHOLE FOODS MKT",-73.54
2021-07-14,"MCDONALDS",-22.94
2021-07-14,"DUNKIN",-6.27
2021-07-14,"GAP",-47.65
2021-07-14,"AMAZON.COM",-23.02
2021-07-14,"STARBUCKS",-23.87
2021-07-15,"PAYROLL DEPOSIT",4398.31
2021-07-15,"TRADER JOES",-50.95
2021-07-15,"76 STATION",-41.56
2021-07-15,"PIZZA PORT",-8.66
2021-07-15,"PEETS COFFEE",-10.16
2021-07-15,"DOLLAR STORE",-30.30
2021-07-15,"DAVE AND BUSTERS",-43.62
2021-07-16,"IN-N-OUT BURGER",-19.92
2021-07-16,"LOCAL COFFEE SHOP",-8.38
2021-07-16,"GAP",-12.22
2021-07-16,"LIME SCOOTER",-9.23
2021-07-16,"7-ELEVEN",-10.79
2021-07-17,"SPROUTS FARMERS MKT",-57.07
2021-07-17,"EXXON MOBIL",-51.75
2021-07-17,"MCDONALDS",-10.02
2021-07-17,"LOCAL COFFEE SHOP",-6.19
2021-07-17,"AMAZON.COM",-71.05
2021-07-17,"UBER",-28.19
2021-07-17,"SPOTIFY",-17.21
2021-07-18,"COSTCO WHOLESALE",-95.15
2021-07-18,"EXXON MOBIL",-74.37
2021-07-18,"SUBWAY",-8.61
2021-07-18,"PEETS COFFEE",-9.83
2021-07-18,"HULU",-5.37
2021-07-18,"AMAZON.COM",-15.21
2021-07-19,"UBER EATS",-26.65
2021-07-19,"PHILZ COFFEE",-10.54
2021-07-19,"EBAY",-32.85
2021-07-20,"CHEVRON",-41.15
2021-07-20,"UBER EATS",-11.86
2021-07-20,"PEETS COFFEE",-4.60
2021-07-20,"TARGET",-50.83
2021-07-21,"ARCO AMPM",-41.54
2021-07-21,"SUSHI HOUSE",-14.41
2021-07-21,"PHILZ COFFEE",-7.59
2021-07-21,"BEST BUY",-42.28
2021-07-21,"CLIPPER CARD",-18.10
2021-07-22,"ARCO AMPM",-74.66
2021-07-22,"SUBWAY",-41.90
2021-07-22,"PEETS COFFEE",-8.69
2021-07-22,"AMAZON.COM",-66.00
2021-07-22,"AMC THEATRES",-27.25
2021-07-23,"CHEVRON",-67.54
2021-07-23,"PANERA BREAD",-28.62
2021-07-23,"LOCAL COFFEE SHOP",-7.46
2021-07-23,"WALMART.COM",-17.03
2021-07-23,"CVS PHARMACY",-26.91
2021-07-23,"MCDONALDS",-23.15
2021-07-23,"7-ELEVEN",-20.92
2021-07-24,"SPROUTS FARMERS MKT",-95.97
2021-07-24,"ARCO AMPM",-62.30
2021-07-24,"PANERA BREAD",-52.06
2021-07-24,"DUNKIN",-7.25
2021-07-24,"MCDONALDS",-10.29
2021-07-25,"COSTCO WHOLESALE",-16.25
2021-07-25,"ARCO AMPM",-43.60
2021-07-25,"PIZZA PORT",-34.32
2021-07-25,"LOCAL COFFEE SHOP",-6.63
2021-07-25,"TARGET",-76.96
2021-07-25,"DAVE AND BUSTERS",-55.42
2021-07-25,"STARBUCKS",-17.84
2021-07-26,"IN-N-OUT BURGER",-31.07
2021-07-26,"PEETS COFFEE",-8.38
2021-07-26,"TARGET",-16.97
2021-07-26,"FASTTRAK",-18.72
2021-07-27,"VERIZON WIRELESS",-126.54
2021-07-27,"MCDONALDS",-18.95
2021-07-27,"STARBUCKS",-4.67
2021-07-27,"GAP",-14.79
2021-07-27,"PLAYSTATION NETWORK",-58.06
2021-07-28,"SPROUTS FARMERS MKT",-39.45
2021-07-28,"76 STATION",-61.55
2021-07-28,"PANERA BREAD",-31.02
2021-07-28,"LOCAL COFFEE SHOP",-7.20
2021-07-28,"BEST BUY",-74.34
2021-07-28,"COPAY",-36.90
2021-07-29,"ARCO AMPM",-35.00
2021-07-29,"LOCAL BISTRO",-9.03
2021-07-29,"PHILZ COFFEE",-6.61
2021-07-29,"CVS",-31.39
2021-07-29,"PARKING METER",-25.02
2021-07-29,"MCDONALDS",-22.93
2021-07-29,"STARBUCKS",-6.45
2021-07-30,"EXXON MOBIL",-38.51
2021-07-30,"UBER EATS",-25.50
2021-07-30,"PHILZ COFFEE",-10.28
2021-07-30,"DOLLAR STORE",-70.53
2021-07-30,"FASTTRAK",-17.71
2021-07-31,"WHOLE FOODS MKT",-34.12
2021-07-31,"ARCO AMPM",-67.68
2021-07-31,"TACO BELL",-8.84
2021-07-31,"PEETS COFFEE",-4.94
2021-07-31,"UNIQLO",-69.35
2021-08-01,"PAYROLL DEPOSIT",4480.58
2021-08-01,"AVALON APARTMENTS",-2400.00
2021-08-01,"WHOLE FOODS MKT",-35.52
2021-08-01,"EXXON MOBIL",-61.72
2021-08-01,"LOCAL BISTRO",-30.13
2021-08-01,"DUNKIN",-7.96
2021-08-01,"TARGET",-44.48
2021-08-01,"RITE AID",-35.12
2021-08-01,"EQUINOX",-38.07
2021-08-02,"CHIPOTLE",-36.76
2021-08-02,"LOCAL COFFEE SHOP",-10.03
2021-08-02,"BART TICKET",-4.48
2021-08-02,"KINDLE EBOOK",-49.06
2021-08-03,"76 STATION",-50.45
2021-08-03,"MCDONALDS",-33.63
2021-08-03,"DUNKIN",-8.04
2021-08-03,"UNIQLO",-21.25
2021-08-03,"AMAZON.COM",-14.95
2021-08-04,"TACO BELL",-14.26
2021-08-04,"DUNKIN",-10.17
2021-08-04,"AMAZON.COM",-17.48
2021-08-05,"CHEVRON",-67.55
2021-08-05,"PANERA BREAD",-29.13
2021-08-05,"LOCAL COFFEE SHOP",-6.80
2021-08-05,"GAP",-50.70
2021-08-05,"LIME SCOOTER",-3.45
2021-08-05,"SPOTIFY",-32.60
2021-08-06,"LOCAL MARKET",-78.99
2021-08-06,"ARCO AMPM",-72.12
2021-08-06,"MCDONALDS",-34.37
2021-08-06,"STARBUCKS",-9.70
2021-08-06,"SPOTIFY USA",-13.64
2021-08-06,"BEST BUY",-60.35
2021-08-06,"MCDONALDS",-9.43
2021-08-06,"STARBUCKS",-13.63
2021-08-07,"TRADER JOES",-33.47
2021-08-07,"CHEVRON",-57.90
2021-08-07,"SUBWAY",-40.88
2021-08-07,"DUNKIN",-8.35
2021-08-07,"BART TICKET",-31.92
2021-08-07,"MCDONALDS",-13.72
2021-08-07,"MCDONALDS",-12.24
2021-08-08,"LOCAL MARKET",-88.01
2021-08-08,"SHELL OIL",-39.26
2021-08-08,"TACO BELL",-38.39
2021-08-08,"PEETS COFFEE",-4.66
2021-08-08,"AMAZON.COM",-35.29
2021-08-09,"ARCO AMPM",-35.36
2021-08-09,"PANERA BREAD",-38.58
2021-08-09,"LOCAL COFFEE SHOP",-8.49
2021-08-09,"GAP",-18.34
2021-08-09,"CLIPPER CARD",-24.68
2021-08-10,"MCDONALDS",-26.97
2021-08-10,"DUNKIN",-11.96
2021-08-10,"DAVE AND BUSTERS",-155.45
2021-08-10,"MCDONALDS",-13.87
2021-08-11,"PANERA BREAD",-31.56
2021-08-11,"PHILZ COFFEE",-6.60
2021-08-11,"UNIQLO",-24.82
2021-08-11,"AMC THEATRES",-43.98
2021-08-11,"MCDONALDS",-17.28
2021-08-12,"SHELL OIL",-63.53
2021-08-12,"DOORDASH",-37.95
2021-08-12,"DUNKIN",-9.40
2021-08-12,"BEST BUY",-55.51
2021-08-12,"BART TICKET",-15.67
2021-08-12,"WALGREENS",-49.96
2021-08-12,"AMAZON.COM",-24.00
2021-08-13,"76 STATION",-42.47
2021-08-13,"LOCAL BISTRO",-22.47
2021-08-13,"LOCAL COFFEE SHOP",-9.86
2021-08-13,"TARGET",-13.39
2021-08-13,"PARKING METER",-15.09
2021-08-14,"SPROUTS FARMERS MKT",-112.86
2021-08-14,"76 STATION",-65.21
2021-08-14,"UBER EATS",-24.84
2021-08-14,"PEETS COFFEE",-6.45
2021-08-14,"CVS",-76.26
2021-08-14,"BART TICKET",-33.76
2021-08-14,"STEAM GAMES",-28.50
2021-08-15,"PAYROLL DEPOSIT",4294.83
2021-08-15,"VERIZON WIRELESS",-82.19
2021-08-15,"SAFEWAY",-51.81
2021-08-15,"ARCO AMPM",-62.37
2021-08-15,"PIZZA PORT",-26.25
2021-08-15,"PEETS COFFEE",-4.58
2021-08-15,"BEST BUY",-15.50
2021-08-15,"LYFT",-7.85
2021-08-15,"STARBUCKS",-13.17
2021-08-16,"EXXON MOBIL",-48.33
2021-08-16,"UBER EATS",-22.07
2021-08-16,"DUNKIN",-5.17
2021-08-16,"TARGET",-73.13
2021-08-16,"LIME SCOOTER",-9.07
2021-08-16,"STEAM GAMES",-18.88
2021-08-16,"MCDONALDS",-21.88
2021-08-16,"STARBUCKS",-16.34
2021-08-17,"SAFEWAY",-43.38
2021-08-17,"76 STATION",-70.76
2021-08-17,"SUBWAY",-43.11
2021-08-17,"LOCAL COFFEE SHOP",-6.79
2021-08-17,"TARGET",-33.71
2021-08-18,"76 STATION",-67.96
2021-08-18,"IN-N-OUT BURGER",-22.23
2021-08-18,"PHILZ COFFEE",-9.37
2021-08-18,"DOLLAR STORE",-40.63
2021-08-18,"CLIPPER CARD",-3.74
2021-08-19,"SUSHI HOUSE",-26.46
2021-08-19,"PEETS COFFEE",-5.78
2021-08-19,"WALMART.COM",-59.85
2021-08-19,"COPAY",-36.77
2021-08-20,"SHELL OIL",-62.47
2021-08-20,"IN-N-OUT BURGER",-32.24
2021-08-20,"DUNKIN",-11.83
2021-08-21,"LOCAL MARKET",-115.77
2021-08-21,"EXXON MOBIL",-72.82
2021-08-21,"TACO BELL",-24.81
2021-08-21,"STARBUCKS",-11.86
2021-08-21,"CVS",-56.65
2021-08-21,"WALGREENS",-45.46
2021-08-21,"AMAZON.COM",-24.21
2021-08-21,"7-ELEVEN",-13.53
2021-08-22,"WALMART SUPERCENTER",-104.23
2021-08-22,"EXXON MOBIL",-57.14
2021-08-22,"PANERA BREAD",-11.54
2021-08-22,"STARBUCKS",-6.61
2021-08-22,"BEST BUY",-23.55
2021-08-22,"SPOTIFY",-52.87
2021-08-23,"SDG&E UTILITIES",-110.96
2021-08-23,"DOORDASH",-22.03
2021-08-23,"PHILZ COFFEE",-7.15
2021-08-23,"AMAZON.COM",-43.84
2021-08-24,"EXXON MOBIL",-72.99
2021-08-24,"CHIPOTLE",-33.88
2021-08-24,"STARBUCKS",-9.90
2021-08-25,"CHEVRON",-38.09
2021-08-25,"PANERA BREAD",-36.98
2021-08-25,"PHILZ COFFEE",-7.14
2021-08-25,"STEAM GAMES",-50.91
2021-08-25,"STARBUCKS",-24.42
2021-08-26,"CHEVRON",-63.44
2021-08-26,"MCDONALDS",-28.24
2021-08-26,"LOCAL COFFEE SHOP",-7.42
2021-08-26,"EBAY",-67.61
2021-08-26,"PARKING METER",-33.75
2021-08-26,"7-ELEVEN",-21.57
2021-08-27,"EXXON MOBIL",-69.66
2021-08-27,"UBER EATS",-37.40
2021-08-27,"STARBUCKS",-6.50
2021-08-27,"DOLLAR STORE",-38.49
2021-08-28,"SPROUTS FARMERS MKT",-47.62
2021-08-28,"76 STATION",-43.22
2021-08-28,"PIZZA PORT",-23.03
2021-08-28,"DUNKIN",-7.18
2021-08-28,"GAP",-73.38
2021-08-28,"7-ELEVEN",-7.63
2021-08-29,"WATER DISTRICT",-144.31
2021-08-29,"WALMART SUPERCENTER",-32.09
2021-08-29,"ARCO AMPM",-36.31
2021-08-29,"UBER EATS",-36.01
2021-08-29,"STARBUCKS",-10.76
2021-08-29,"SPOTIFY USA",-5.29
2021-08-29,"EBAY",-25.83
2021-08-29,"CLIPPER CARD",-31.87
